NameOfStation,Line,Year,IncomingPassengers,OutgoingPassengers,global_id
Крылатское,Арбатско-Покровская линия,2021,8131488,8014667,1138976000
Крылатское,Арбатско-Покровская линия,2022,8734369,8620296,2363398665
Крылатское,Арбатско-Покровская линия,2023,9251272,9069398,2581188700
Крылатское,Арбатско-Покровская линия,2024,7166244,7053754,2664615734
Крымская,Московское центральное кольцо,2021,3416394,3582327,1138976511
Крымская,Московское центральное кольцо,2022,3580895,3751209,2363398852
Крымская,Московское центральное кольцо,2023,3604117,3779913,2581189599
Крымская,Московское центральное кольцо,2024,2617389,2742655,2664615879
Кузнецкий мост,Таганско-Краснопресненская линия,2021,7318595,7681611,1138976292
Кузнецкий мост,Таганско-Краснопресненская линия,2022,7601920,8067353,2363398960
Кузнецкий мост,Таганско-Краснопресненская линия,2023,7664547,8134114,2581189002
Кузнецкий мост,Таганско-Краснопресненская линия,2024,5602651,5963152,2664615971
Кузьминки,Таганско-Краснопресненская линия,2021,18900552,18886524,1138976301
Кузьминки,Таганско-Краснопресненская линия,2022,19718962,19556004,2363398966
Кузьминки,Таганско-Краснопресненская линия,2023,19393407,19266188,2581189009
Кузьминки,Таганско-Краснопресненская линия,2024,13903674,13916435,2664615976
Кунцевская,Арбатско-Покровская линия,2021,3756246,3802054,1139050920
Кунцевская,Арбатско-Покровская линия,2022,4132858,4198551,2363417021
Кунцевская,Арбатско-Покровская линия,2023,3784943,3811975,2581189785
Кунцевская,Арбатско-Покровская линия,2024,2691146,2711840,2664619602
Кунцевская,Большая кольцевая линия,2021,216524,222245,1508957890
Кунцевская,Большая кольцевая линия,2022,3930809,3902428,2363398700
Кунцевская,Большая кольцевая линия,2023,6638651,6587955,2581188734
Кунцевская,Большая кольцевая линия,2024,5568397,5535148,2664615754
Кунцевская,Филёвская линия,2021,2643588,2588109,1139050945
Кунцевская,Филёвская линия,2022,2247659,2190128,2363644363
Кунцевская,Филёвская линия,2023,2152785,2091475,2581190572
Кунцевская,Филёвская линия,2024,1591477,1550671,2664649019
Курская,Арбатско-Покровская линия,2021,5469314,5518874,1139050918
Курская,Арбатско-Покровская линия,2022,7222286,7454142,2363419465
Курская,Арбатско-Покровская линия,2023,7385829,7651921,2581190036
Курская,Арбатско-Покровская линия,2024,2709667,2793564,2664619820
Курская,Кольцевая линия,2021,15575664,14289139,1139049553
Курская,Кольцевая линия,2022,11515827,10586602,2363398790
Курская,Кольцевая линия,2023,12537169,11477325,2581188835
Курская,Кольцевая линия,2024,15164019,14103343,2664615835
Кутузовская,Московское центральное кольцо,2021,5632371,6173671,1139050950
Кутузовская,Московское центральное кольцо,2022,6080651,6697741,2363487156
Кутузовская,Московское центральное кольцо,2023,6963200,7601922,2581190515
Кутузовская,Московское центральное кольцо,2024,5726582,6157924,2664648956
Кутузовская,Филёвская линия,2021,2318353,2458325,1139049564
Кутузовская,Филёвская линия,2022,2339909,2507618,2363398979
Кутузовская,Филёвская линия,2023,2416721,2584543,2581189022
Кутузовская,Филёвская линия,2024,1867340,2011933,2664615987
Ленинский проспект,Калужско-Рижская линия,2021,11626030,13366155,1138976236
Ленинский проспект,Калужско-Рижская линия,2022,12099681,13979540,2363398771
Ленинский проспект,Калужско-Рижская линия,2023,12386972,14154210,2581188817
Ленинский проспект,Калужско-Рижская линия,2024,9137937,10428660,2664615820
Лермонтовский проспект,Таганско-Краснопресненская линия,2021,6562888,6250184,1138976207
Лермонтовский проспект,Таганско-Краснопресненская линия,2022,6875292,6552956,2363398969
Лермонтовский проспект,Таганско-Краснопресненская линия,2023,6828965,6546299,2581189013
Лермонтовский проспект,Таганско-Краснопресненская линия,2024,4648448,4477136,2664615979
Лесопарковая,Бутовская линия Лёгкого метро,2021,1673660,1610550,1138976295
Лесопарковая,Бутовская линия Лёгкого метро,2022,2262107,2138217,2363398711
Лесопарковая,Бутовская линия Лёгкого метро,2023,2480922,2347669,2581188755
Лесопарковая,Бутовская линия Лёгкого метро,2024,2041896,1949449,2664615769
Лефортово,Большая кольцевая линия,2023,3780359,3862201,2581190087
Лефортово,Большая кольцевая линия,2024,3262323,3352525,2664616006
Лефортово,Некрасовская линия,2021,1830623,1829997,1146103169
Лефортово,Некрасовская линия,2022,2303531,2305433,2363420711
Лианозово,Люблинско-Дмитровская линия,2023,1526338,1473973,2625907500
Лианозово,Люблинско-Дмитровская линия,2024,3986646,3830656,2664616049
Лихоборы,Московское центральное кольцо,2021,3702606,3765707,1138976478
Лихоборы,Московское центральное кольцо,2022,3911984,3970682,2363398830
Лихоборы,Московское центральное кольцо,2023,4183579,4253002,2581189577
Лихоборы,Московское центральное кольцо,2024,3756764,3812509,2664615867
Локомотив,Московское центральное кольцо,2021,3346123,3615620,1138976457
Локомотив,Московское центральное кольцо,2022,3942265,4103485,2363398838
Локомотив,Московское центральное кольцо,2023,3933794,4032177,2581189584
Локомотив,Московское центральное кольцо,2024,2887458,2936627,2664615870
Ломоносовский проспект,Солнцевская линия,2021,4059324,4076039,1138976406
Ломоносовский проспект,Солнцевская линия,2022,4425294,4467144,2363398936
Ломоносовский проспект,Солнцевская линия,2023,4791520,4823399,2581188980
Ломоносовский проспект,Солнцевская линия,2024,3613787,3624401,2664615948
Лубянка,Сокольническая линия,2021,7832419,7948330,1138976166
Лубянка,Сокольническая линия,2022,8798378,9004541,2363398913
Лубянка,Сокольническая линия,2023,9042370,9275872,2581188957
Лубянка,Сокольническая линия,2024,6961943,7118607,2664615928
Лужники,Московское центральное кольцо,2021,3349554,3880372,1138976489
Лужники,Московское центральное кольцо,2022,3288742,3857913,2363398854
Лужники,Московское центральное кольцо,2023,3569898,4097893,2581189601
Лужники,Московское центральное кольцо,2024,2789163,3180832,2664615881
Лухмановская,Некрасовская линия,2021,4742538,4430798,1138976375
Лухмановская,Некрасовская линия,2022,5506328,5181186,2363398872
Лухмановская,Некрасовская линия,2023,6071146,5903610,2581188917
Лухмановская,Некрасовская линия,2024,4906220,4826844,2664615895
Люблино,Люблинско-Дмитровская линия,2021,14290435,13836572,1138976407
Люблино,Люблинско-Дмитровская линия,2022,15178762,14636618,2363398816
Люблино,Люблинско-Дмитровская линия,2023,15136903,14563327,2581188864
Люблино,Люблинско-Дмитровская линия,2024,10663105,10328377,2664615855
Марксистская,Калининская линия,2021,7155322,7483825,1138976321
Марксистская,Калининская линия,2022,7696768,8061871,2363398752
Марксистская,Калининская линия,2023,7719954,8060755,2581188798
Марксистская,Калининская линия,2024,5655303,5909020,2664615808
Марьина Роща,Большая кольцевая линия,2023,2019317,2065247,2581188753
Марьина Роща,Большая кольцевая линия,2024,2101923,2151273,2664615767
Марьина роща,Люблинско-Дмитровская линия,2021,9172471,9424463,1139049579
Марьина роща,Люблинско-Дмитровская линия,2022,9453344,9710695,2363398803
Марьина роща,Люблинско-Дмитровская линия,2023,8652975,8884345,2581190305
Марьина роща,Люблинско-Дмитровская линия,2024,6328554,6517979,2664648721
Марьино,Люблинско-Дмитровская линия,2021,10262185,10183595,1138976411
Марьино,Люблинско-Дмитровская линия,2022,10742939,10617864,2363398819
Марьино,Люблинско-Дмитровская линия,2023,10949525,10764562,2581188867
Марьино,Люблинско-Дмитровская линия,2024,7831903,7729927,2664615857
Маяковская,Замоскворецкая линия,2021,10826291,11166529,1138976130
Маяковская,Замоскворецкая линия,2022,11144608,11621544,2363398729
Маяковская,Замоскворецкая линия,2023,11729927,12191359,2581188774
Маяковская,Замоскворецкая линия,2024,9250849,9612064,2664615786
Медведково,Калужско-Рижская линия,2021,16125563,15607857,1138976215
Медведково,Калужско-Рижская линия,2022,17584805,16934185,2363398755
Медведково,Калужско-Рижская линия,2023,18328678,17588667,2581188801
Медведково,Калужско-Рижская линия,2024,13742276,13234882,2664615809
Менделеевская,Серпуховско-Тимирязевская линия,2021,14304830,15072636,1138976337
Менделеевская,Серпуховско-Тимирязевская линия,2022,9593236,10206351,2363398884
Менделеевская,Серпуховско-Тимирязевская линия,2023,8560800,9083692,2581188929
Менделеевская,Серпуховско-Тимирязевская линия,2024,6239412,6610235,2664615904
Минская,Солнцевская линия,2021,1842660,1888410,1138976404
Минская,Солнцевская линия,2022,2132038,2188193,2363398935
Минская,Солнцевская линия,2023,2557222,2606183,2581188979
Минская,Солнцевская линия,2024,2240868,2259897,2664615947
Митино,Арбатско-Покровская линия,2021,8326934,7833445,1138975996
Митино,Арбатско-Покровская линия,2022,8399765,8043844,2363398661
Митино,Арбатско-Покровская линия,2023,8578844,8219275,2581188695
Митино,Арбатско-Покровская линия,2024,6433995,6173446,2664615730
Мичуринский проспект,Большая кольцевая линия,2021,161433,164256,1508957893
Мичуринский проспект,Большая кольцевая линия,2022,2786965,2801973,2363420999
Мичуринский проспект,Большая кольцевая линия,2023,3790915,3830164,2581190173
Мичуринский проспект,Большая кольцевая линия,2024,3256293,3318122,2664619886
Мичуринский проспект,Солнцевская линия,2021,2587443,2572961,1139049589
Мичуринский проспект,Солнцевская линия,2022,954708,964876,2363398939
Мичуринский проспект,Солнцевская линия,2023,980722,995716,2581188982
Мичуринский проспект,Солнцевская линия,2024,669825,686743,2664615950
Мнёвники,Большая кольцевая линия,2021,259806,258036,1138976397
Мнёвники,Большая кольцевая линия,2022,410640,408436,2363398694
Мнёвники,Большая кольцевая линия,2023,242769,214644,2581188728
Мнёвники,Большая кольцевая линия,2024,186455,166938,2664615751
Молодёжная,Арбатско-Покровская линия,2021,14662329,14437233,1139049528
Молодёжная,Арбатско-Покровская линия,2022,15742333,15541084,2363398666
Молодёжная,Арбатско-Покровская линия,2023,15131314,14881219,2581188701
Молодёжная,Арбатско-Покровская линия,2024,11693525,11526796,2664615735
Москва-Сити,Московское центральное кольцо,2021,4851654,5154253,1139050944
Москва-Сити,Московское центральное кольцо,2022,5314402,5738264,2363487167
Москва-Сити,Московское центральное кольцо,2023,5347266,5764241,2581190522
Москва-Сити,Московское центральное кольцо,2024,4523644,4896733,2664648958
Москва-Сити,Филёвская линия,2021,2212621,2237289,1139049793
Москва-Сити,Филёвская линия,2022,2279711,2362728,2363398985
Москва-Сити,Филёвская линия,2023,2158200,2216184,2581189029
Москва-Сити,Филёвская линия,2024,1802194,1848069,2664616274
Мякинино,Арбатско-Покровская линия,2021,5997557,5716070,1138976083
Мякинино,Арбатско-Покровская линия,2022,5990936,5773732,2363398663
Мякинино,Арбатско-Покровская линия,2023,6213879,5932950,2581188697
Мякинино,Арбатско-Покровская линия,2024,4377888,4190300,2664615732
Нагатинская,Серпуховско-Тимирязевская линия,2021,12851943,13170787,1138976269
Нагатинская,Серпуховско-Тимирязевская линия,2022,14146796,14513256,2363398892
Нагатинская,Серпуховско-Тимирязевская линия,2023,15098371,15315606,2581188937
Нагатинская,Серпуховско-Тимирязевская линия,2024,9635365,9819940,2664615911
Нагатинский Затон,Большая кольцевая линия,2023,1518078,1538643,2581188747
Нагатинский Затон,Большая кольцевая линия,2024,1334294,1352238,2664615764
Нагорная,Серпуховско-Тимирязевская линия,2021,4856942,4948289,1138976271
Нагорная,Серпуховско-Тимирязевская линия,2022,5475226,5615879,2363398893
Нагорная,Серпуховско-Тимирязевская линия,2023,5783240,5909983,2581188938
Нагорная,Серпуховско-Тимирязевская линия,2024,4410406,4503296,2664615912
Народное Ополчение,Большая кольцевая линия,2021,2783610,2718284,1138976442
Народное Ополчение,Большая кольцевая линия,2022,4452307,4428910,2363398692
Народное Ополчение,Большая кольцевая линия,2023,7280957,7255948,2581188727
Народное Ополчение,Большая кольцевая линия,2024,6057829,6047440,2664615750
Нахимовский проспект,Серпуховско-Тимирязевская линия,2021,7220304,7333178,1138976274
Нахимовский проспект,Серпуховско-Тимирязевская линия,2022,7530394,7645684,2363398895
Нахимовский проспект,Серпуховско-Тимирязевская линия,2023,7275705,7370593,2581188939
Нахимовский проспект,Серпуховско-Тимирязевская линия,2024,5053576,5125010,2664615913
Некрасовка,Некрасовская линия,2021,15219848,14230216,1138976430
Некрасовка,Некрасовская линия,2022,17997253,16971545,2363398874
Некрасовка,Некрасовская линия,2023,19608244,19166326,2581188918
Некрасовка,Некрасовская линия,2024,14557042,14308495,2664615896
Нижегородская,Московское центральное кольцо,2021,6069322,6468182,1139050952
Нижегородская,Московское центральное кольцо,2022,7163916,7670023,2363426813
Нижегородская,Московское центральное кольцо,2023,6237050,6713209,2581190482
Нижегородская,Московское центральное кольцо,2024,4038161,4387671,2664648758
Нижегородская,Некрасовская линия,2021,3108411,4083513,1139049583
Нижегородская,Некрасовская линия,2022,4122389,5232119,2363398866
Нижегородская,Некрасовская линия,2023,10100422,11425789,2581188911
Нижегородская,Некрасовская линия,2024,9436246,10402585,2664615889
Новаторская,Большая кольцевая линия,2021,223689,225940,1508957895
Новаторская,Большая кольцевая линия,2022,3789913,3785844,2363398706
Новаторская,Большая кольцевая линия,2023,5010590,5048571,2581188739
Новаторская,Большая кольцевая линия,2024,4096007,4145173,2664615758
Новаторская,Троицкая линия,2024,185303,188139,2703960438
Новогиреево,Калининская линия,2021,21905895,21292732,1138976313
Новогиреево,Калининская линия,2022,23187584,22442771,2363398747
Новогиреево,Калининская линия,2023,23255203,22471172,2581188792
Новогиреево,Калининская линия,2024,16200886,15637965,2664615803
Новокосино,Калининская линия,2021,19045579,18398430,1138976311
Новокосино,Калининская линия,2022,20408881,19671258,2363398746
Новокосино,Калининская линия,2023,20247479,19557470,2581188790
Новокосино,Калининская линия,2024,13913711,13507406,2664615802
Новокузнецкая,Замоскворецкая линия,2021,9446621,9938023,1138976132
Новокузнецкая,Замоскворецкая линия,2022,9768100,10354514,2363398732
Новокузнецкая,Замоскворецкая линия,2023,10088691,10647241,2581188777
Новокузнецкая,Замоскворецкая линия,2024,8124722,8558662,2664615789
Новомосковская,Сокольническая линия,2021,3768393,3706501,1138976063
Новомосковская,Сокольническая линия,2022,4977729,4895554,2363398932
Новомосковская,Сокольническая линия,2023,5706910,5603634,2581188976
Новомосковская,Сокольническая линия,2024,4421521,4343289,2664615944
Новопеределкино,Солнцевская линия,2021,4920213,4704347,1138976463
Новопеределкино,Солнцевская линия,2022,5535593,5296505,2363398945
Новопеределкино,Солнцевская линия,2023,5784317,5506654,2581188988
Новопеределкино,Солнцевская линия,2024,4197334,3999605,2664615955
Новослободская,Кольцевая линия,2021,0,0,1138976067
Новослободская,Кольцевая линия,2022,7343649,7859461,2363398786
Новослободская,Кольцевая линия,2023,9835023,10482360,2581188832
Новослободская,Кольцевая линия,2024,7432836,7914853,2664615832
Новохохловская,Московское центральное кольцо,2021,2331599,2457485,1138976471
Новохохловская,Московское центральное кольцо,2022,2624358,2726536,2363398845
Новохохловская,Московское центральное кольцо,2023,2371713,2442584,2581189592
Новохохловская,Московское центральное кольцо,2024,1660254,1702322,2664615875
Новоясеневская,Калужско-Рижская линия,2021,1994902,1956951,1138976252
Новоясеневская,Калужско-Рижская линия,2022,2191692,2124410,2363398781
Новоясеневская,Калужско-Рижская линия,2023,2266676,2166810,2581188827
Новоясеневская,Калужско-Рижская линия,2024,1679226,1618574,2664615830
Новые Черёмушки,Калужско-Рижская линия,2021,12342591,12659777,1139049591
Новые Черёмушки,Калужско-Рижская линия,2022,12012585,12285619,2363398775
Новые Черёмушки,Калужско-Рижская линия,2023,11794161,11990568,2581188821
Новые Черёмушки,Калужско-Рижская линия,2024,8554359,8720441,2664615824
Озёрная,Солнцевская линия,2021,5369908,5301943,1138976456
Озёрная,Солнцевская линия,2022,5656270,5591345,2363398940
Озёрная,Солнцевская линия,2023,5885592,5814062,2581188984
Озёрная,Солнцевская линия,2024,4590408,4528729,2664615951
Окружная,Люблинско-Дмитровская линия,2021,2002749,1993452,1139049577
Окружная,Люблинско-Дмитровская линия,2022,2318537,2298661,2363398798
Окружная,Люблинско-Дмитровская линия,2023,4032542,4121272,2581188845
Окружная,Люблинско-Дмитровская линия,2024,2736072,2881665,2664615839
Окружная,Московское центральное кольцо,2021,4905724,4989344,1139050955
Окружная,Московское центральное кольцо,2022,5254093,5272631,2363426102
Окружная,Московское центральное кольцо,2023,5080212,5168920,2581190325
Окружная,Московское центральное кольцо,2024,3744888,3821077,2664648733
Окская,Некрасовская линия,2021,1999587,1922107,1138976421
Окская,Некрасовская линия,2022,2379869,2312110,2363398868
Окская,Некрасовская линия,2023,3054804,3112554,2581188913
Окская,Некрасовская линия,2024,2563901,2628450,2664615891
Октябрьская,Калужско-Рижская линия,2021,3886648,4102399,1139049561
Октябрьская,Калужско-Рижская линия,2022,4272248,4522870,2363398768
Октябрьская,Калужско-Рижская линия,2023,4285445,4497166,2581188815
Октябрьская,Калужско-Рижская линия,2024,3323668,3488389,2664615818
Октябрьская,Кольцевая линия,2021,7959052,8261685,1139050953
Октябрьская,Кольцевая линия,2022,8712568,9113168,2363425430
Октябрьская,Кольцевая линия,2023,9045292,9462731,2581190289
Октябрьская,Кольцевая линия,2024,6737709,7031780,2664648710
Октябрьское поле,Таганско-Краснопресненская линия,2021,12892707,13177537,1138976172
Октябрьское поле,Таганско-Краснопресненская линия,2022,13306732,13587588,2363398952
Октябрьское поле,Таганско-Краснопресненская линия,2023,13458773,13698433,2581188996
Октябрьское поле,Таганско-Краснопресненская линия,2024,9846219,10020743,2664615963
Ольховая,Сокольническая линия,2021,2301524,2190664,1138976191
Ольховая,Сокольническая линия,2022,2812410,2669866,2363398931
Ольховая,Сокольническая линия,2023,3311400,3136779,2581188975
Ольховая,Сокольническая линия,2024,2757738,2605260,2664615943
Орехово,Замоскворецкая линия,2021,6238442,6026930,1138976145
Орехово,Замоскворецкая линия,2022,6260741,5979455,2363398741
Орехово,Замоскворецкая линия,2023,5578817,5285891,2581188786
Орехово,Замоскворецкая линия,2024,4560729,4448343,2664615798
Отрадное,Серпуховско-Тимирязевская линия,2021,15543169,15677729,1138976239
Отрадное,Серпуховско-Тимирязевская линия,2022,16118122,16201082,2363398877
Отрадное,Серпуховско-Тимирязевская линия,2023,16304225,16352873,2581188922
Отрадное,Серпуховско-Тимирязевская линия,2024,12175666,12262997,2664615899
Охотный ряд,Сокольническая линия,2021,15011495,14854840,1138976168
Охотный ряд,Сокольническая линия,2022,16051978,15982747,2363398914
Охотный ряд,Сокольническая линия,2023,17201580,16986005,2581188958
Охотный ряд,Сокольническая линия,2024,13782762,13466907,2664615929
Павелецкая,Замоскворецкая линия,2021,11058652,9368425,1139049539
Павелецкая,Замоскворецкая линия,2022,12032541,10243117,2363398733
Павелецкая,Замоскворецкая линия,2023,12284865,10165350,2581188778
Павелецкая,Замоскворецкая линия,2024,8282944,6720958,2664615790
Павелецкая,Кольцевая линия,2021,11897205,12359258,1139050949
Павелецкая,Кольцевая линия,2022,14800583,15377025,2363425349
Павелецкая,Кольцевая линия,2023,16648948,17155732,2581190282
Павелецкая,Кольцевая линия,2024,13635620,14026975,2664620104
Панфиловская,Московское центральное кольцо,2021,2144467,2269732,1138976503
Панфиловская,Московское центральное кольцо,2022,2215213,2354406,2363398861
Панфиловская,Московское центральное кольцо,2023,2233893,2366222,2581189607
Панфиловская,Московское центральное кольцо,2024,1683575,1780184,2664615885
Парк Победы,Арбатско-Покровская линия,2021,5183342,5101860,1139050921
Парк Победы,Арбатско-Покровская линия,2022,5342634,5275003,2363417313
Парк Победы,Арбатско-Покровская линия,2023,5712490,5666498,2581189797
Парк Победы,Арбатско-Покровская линия,2024,4809720,4655710,2664619608
Парк Победы,Солнцевская линия,2021,1034180,1074332,1139049588
Парк Победы,Солнцевская линия,2022,1413248,1480785,2363398934
Парк Победы,Солнцевская линия,2023,1329143,1364697,2581188978
Парк Победы,Солнцевская линия,2024,1097812,1120641,2664615946
Парк культуры,Кольцевая линия,2021,12381482,12873746,1139050956
Парк культуры,Кольцевая линия,2022,11824792,12374338,2363425626
Парк культуры,Кольцевая линия,2023,12330605,12863060,2581190297
Парк культуры,Кольцевая линия,2024,8819981,9234393,2664648715
Парк культуры,Сокольническая линия,2021,1947489,2010496,1139049546
Парк культуры,Сокольническая линия,2022,2210461,2334781,2363398917
Парк культуры,Сокольническая линия,2023,2400885,2529832,2581188961
Парк культуры,Сокольническая линия,2024,1892831,2001698,2664615932
Партизанская,Арбатско-Покровская линия,2021,5726921,5640295,1138976108
Партизанская,Арбатско-Покровская линия,2022,6501245,6278535,2363398680
Партизанская,Арбатско-Покровская линия,2023,6966405,6619004,2581188715
Партизанская,Арбатско-Покровская линия,2024,5304183,4958744,2664615743
Первомайская,Арбатско-Покровская линия,2021,11009600,10996163,1138976015
Первомайская,Арбатско-Покровская линия,2022,11767702,11686504,2363398683
Первомайская,Арбатско-Покровская линия,2023,11786617,11664820,2581188718
Первомайская,Арбатско-Покровская линия,2024,8506844,8422561,2664615745
Перово,Калининская линия,2021,13011395,12936906,1138976315
Перово,Калининская линия,2022,13533333,13414420,2363398748
Перово,Калининская линия,2023,13494043,13354046,2581188793
Перово,Калининская линия,2024,9628290,9540045,2664615804
Петровский парк,Большая кольцевая линия,2021,3234882,3294013,1138976383
Петровский парк,Большая кольцевая линия,2022,3766864,3904384,2363420043
Петровский парк,Большая кольцевая линия,2023,5557583,5773333,2581190054
Петровский парк,Большая кольцевая линия,2024,4690803,4881625,2664616002
Петровско-Разумовская,Люблинско-Дмитровская линия,2021,7348325,7278741,1139049578
Петровско-Разумовская,Люблинско-Дмитровская линия,2022,7323484,7132895,2363398800
Петровско-Разумовская,Люблинско-Дмитровская линия,2023,7576642,7222658,2581188846
Петровско-Разумовская,Люблинско-Дмитровская линия,2024,5590424,5369187,2664615840
Петровско-Разумовская,Серпуховско-Тимирязевская линия,2021,0,0,1266159596
Петровско-Разумовская,Серпуховско-Тимирязевская линия,2022,0,0,2363487177
Петровско-Разумовская,Серпуховско-Тимирязевская линия,2023,0,0,2581190534
Петровско-Разумовская,Серпуховско-Тимирязевская линия,2024,0,0,2664619916
Печатники,Большая кольцевая линия,2023,812444,818316,2581190194
Печатники,Большая кольцевая линия,2024,760758,770167,2664619893
Печатники,Люблинско-Дмитровская линия,2021,6454740,6519697,1139049582
Печатники,Люблинско-Дмитровская линия,2022,7179980,7202874,2363398814
Печатники,Люблинско-Дмитровская линия,2023,7743984,7715705,2581188862
Печатники,Люблинско-Дмитровская линия,2024,5525860,5525111,2664615853
Пионерская,Филёвская линия,2021,1784205,1726600,1138976255
Пионерская,Филёвская линия,2022,2035872,1967028,2363398975
Пионерская,Филёвская линия,2023,2073976,1994446,2581189017
Пионерская,Филёвская линия,2024,1505746,1451431,2664615983
Планерная,Таганско-Краснопресненская линия,2021,13407211,12876204,1138976160
Планерная,Таганско-Краснопресненская линия,2022,14043049,13499799,2363398947
Планерная,Таганско-Краснопресненская линия,2023,14137791,13586983,2581188990
Планерная,Таганско-Краснопресненская линия,2024,10183813,9828010,2664615957
Площадь Гагарина,Московское центральное кольцо,2021,4285836,5235948,1138976487
Площадь Гагарина,Московское центральное кольцо,2022,4259073,5296229,2363398853
Площадь Гагарина,Московское центральное кольцо,2023,4393182,5337055,2581189600
Площадь Гагарина,Московское центральное кольцо,2024,3350485,4047184,2664615880
Площадь Ильича,Калининская линия,2021,7313821,7377850,1138976320
Площадь Ильича,Калининская линия,2022,6396856,6443015,2363398751
Площадь Ильича,Калининская линия,2023,6796578,6848633,2581188797
Площадь Ильича,Калининская линия,2024,4915863,4956925,2664615806
Площадь Революции,Арбатско-Покровская линия,2021,10837027,10809966,1138976008
Площадь Революции,Арбатско-Покровская линия,2022,12132646,12076898,2363398675
Площадь Революции,Арбатско-Покровская линия,2023,11806022,11765169,2581188710
Площадь Революции,Арбатско-Покровская линия,2024,8980580,8895207,2664615739
Полежаевская,Таганско-Краснопресненская линия,2021,10389641,10632563,1138976284
Полежаевская,Таганско-Краснопресненская линия,2022,10296520,10557428,2363398954
Полежаевская,Таганско-Краснопресненская линия,2023,9596983,9792548,2581188997
Полежаевская,Таганско-Краснопресненская линия,2024,7102569,7276696,2664615964
Полянка,Серпуховско-Тимирязевская линия,2021,4819629,5059719,1138976261
Полянка,Серпуховско-Тимирязевская линия,2022,5388262,5702273,2363398888
Полянка,Серпуховско-Тимирязевская линия,2023,5652387,5945473,2581188933
Полянка,Серпуховско-Тимирязевская линия,2024,4238632,4475084,2664615908
Потапово,Сокольническая линия,2024,361059,357992,2703957812
Пражская,Серпуховско-Тимирязевская линия,2021,15373264,15384986,1138976283
Пражская,Серпуховско-Тимирязевская линия,2022,16550026,16579390,2363398899
Пражская,Серпуховско-Тимирязевская линия,2023,17700517,17622771,2581188943
Пражская,Серпуховско-Тимирязевская линия,2024,12111874,12108838,2664615917
Преображенская площадь,Сокольническая линия,2021,14010863,14259953,1138976041
Преображенская площадь,Сокольническая линия,2022,14499093,14711093,2363398905
Преображенская площадь,Сокольническая линия,2023,14668944,14831030,2581188950
Преображенская площадь,Сокольническая линия,2024,10831931,10964496,2664615923
Прокшино,Сокольническая линия,2021,1174497,1132914,1138976061
Прокшино,Сокольническая линия,2022,2169241,2109661,2363398930
Прокшино,Сокольническая линия,2023,2579544,2517796,2581188974
Прокшино,Сокольническая линия,2024,2114510,2073199,2664615942
Пролетарская,Таганско-Краснопресненская линия,2021,10032432,10200477,1138976296
Пролетарская,Таганско-Краснопресненская линия,2022,10468505,10630721,2363398963
Пролетарская,Таганско-Краснопресненская линия,2023,10824649,10961714,2581189006
Пролетарская,Таганско-Краснопресненская линия,2024,7962434,8090397,2664615973
Проспект Вернадского,Большая кольцевая линия,2021,97296,99593,1508957894
Проспект Вернадского,Большая кольцевая линия,2022,1689153,1741750,2363398704
Проспект Вернадского,Большая кольцевая линия,2023,2668736,2733019,2581188738
Проспект Вернадского,Большая кольцевая линия,2024,2257669,2357176,2664615757
Проспект Вернадского,Сокольническая линия,2021,8525242,8536951,1139050926
Проспект Вернадского,Сокольническая линия,2022,8922747,8994822,2363487279
Проспект Вернадского,Сокольническая линия,2023,8549799,8611414,2581190555
Проспект Вернадского,Сокольническая линия,2024,5869072,5956519,2664648998
Проспект Мира,Калужско-Рижская линия,2021,7889459,8225371,1139050959
Проспект Мира,Калужско-Рижская линия,2022,7556921,7876818,2363423945
Проспект Мира,Калужско-Рижская линия,2023,7287082,7546037,2581190245
Проспект Мира,Калужско-Рижская линия,2024,5487055,5704945,2664620024
Проспект Мира,Кольцевая линия,2021,7932825,8218837,1139049552
Проспект Мира,Кольцевая линия,2022,8188272,8492076,2363398787
Проспект Мира,Кольцевая линия,2023,7805470,8065995,2581188833
Проспект Мира,Кольцевая линия,2024,5880581,6089343,2664615833
Профсоюзная,Калужско-Рижская линия,2021,10190174,10456533,1138976111
Профсоюзная,Калужско-Рижская линия,2022,10306958,10568894,2363398773
Профсоюзная,Калужско-Рижская линия,2023,10681335,10921533,2581188819
Профсоюзная,Калужско-Рижская линия,2024,7781953,7988100,2664615823
Пушкинская,Таганско-Краснопресненская линия,2021,14099954,14609218,1138976290
Пушкинская,Таганско-Краснопресненская линия,2022,14884386,15650036,2363398959
Пушкинская,Таганско-Краснопресненская линия,2023,15434047,16203933,2581189001
Пушкинская,Таганско-Краснопресненская линия,2024,11323966,11863806,2664615970
Пыхтино,Солнцевская линия,2023,1062711,999090,2630091658
Пыхтино,Солнцевская линия,2024,2531170,2372030,2664616046
Пятницкое шоссе,Арбатско-Покровская линия,2021,5810225,5527313,1138976078
Пятницкое шоссе,Арбатско-Покровская линия,2022,6196749,5843855,2363398660
Пятницкое шоссе,Арбатско-Покровская линия,2023,6363317,5998833,2581188693
Пятницкое шоссе,Арбатско-Покровская линия,2024,4618693,4378414,2664615729
Раменки,Солнцевская линия,2021,5384861,5289799,1138976453
Раменки,Солнцевская линия,2022,5893831,5853296,2363398937
Раменки,Солнцевская линия,2023,6232851,6169659,2581188981
Раменки,Солнцевская линия,2024,4839131,4793396,2664615949
Рассказовка,Солнцевская линия,2021,6051394,5652887,1138976465
