NameOfStation,Line,Year,IncomingPassengers,OutgoingPassengers,global_id
Бауманская,Арбатско-Покровская линия,2023,18526255,19381819,2581188712
Бауманская,Арбатско-Покровская линия,2024,13439493,14054615,2664615740
Беговая,Таганско-Краснопресненская линия,2021,13640505,13787116,1138976177
Беговая,Таганско-Краснопресненская линия,2022,13710047,13825366,2363398955
Беговая,Таганско-Краснопресненская линия,2023,11873059,11985180,2581188998
Беговая,Таганско-Краснопресненская линия,2024,8451918,8542295,2664615965
Белокаменная,Московское центральное кольцо,2021,338737,352012,1138976452
Белокаменная,Московское центральное кольцо,2022,456508,475723,2363398836
Белокаменная,Московское центральное кольцо,2023,545628,570412,2581189582
Белокаменная,Московское центральное кольцо,2024,423656,442858,2664615869
Беломорская,Замоскворецкая линия,2021,9386581,8940629,1138976018
Беломорская,Замоскворецкая линия,2022,9762071,9316657,2363398720
Беломорская,Замоскворецкая линия,2023,9790315,9311797,2581188764
Беломорская,Замоскворецкая линия,2024,7170125,6825243,2664615777
Белорусская,Замоскворецкая линия,2021,9190081,8802983,1139049538
Белорусская,Замоскворецкая линия,2022,8672026,8637293,2363398727
Белорусская,Замоскворецкая линия,2023,9356171,9000712,2581188772
Белорусская,Замоскворецкая линия,2024,7364465,7242840,2664615785
Белорусская,Кольцевая линия,2021,14126165,13599465,1139050942
Белорусская,Кольцевая линия,2022,15764250,14887542,2363424682
Белорусская,Кольцевая линия,2023,15487884,14832247,2581190258
Белорусская,Кольцевая линия,2024,12132431,11371795,2664620070
Беляево,Калужско-Рижская линия,2021,10859622,11149278,1138976245
Беляево,Калужско-Рижская линия,2022,12338158,12520069,2363398777
Беляево,Калужско-Рижская линия,2023,12803306,12982717,2581188823
Беляево,Калужско-Рижская линия,2024,9269232,9397321,2664615826
Бибирево,Серпуховско-Тимирязевская линия,2021,9210947,9264343,1138976327
Бибирево,Серпуховско-Тимирязевская линия,2022,9580264,9583508,2363398876
Бибирево,Серпуховско-Тимирязевская линия,2023,9518499,9486899,2581188921
Бибирево,Серпуховско-Тимирязевская линия,2024,7024359,7014503,2664615898
Библиотека имени Ленина,Сокольническая линия,2021,0,0,1508958579
Библиотека имени Ленина,Сокольническая линия,2022,0,0,2363398915
Библиотека имени Ленина,Сокольническая линия,2023,0,0,2581188959
Библиотека имени Ленина,Сокольническая линия,2024,0,0,2664615930
Битцевский парк,Бутовская линия Лёгкого метро,2021,1049438,802177,1138976293
Битцевский парк,Бутовская линия Лёгкого метро,2022,1037674,778446,2363398710
Битцевский парк,Бутовская линия Лёгкого метро,2023,1053502,770376,2581188754
Битцевский парк,Бутовская линия Лёгкого метро,2024,687361,490376,2664615768
Борисово,Люблинско-Дмитровская линия,2021,3745096,3712648,1138976412
Борисово,Люблинско-Дмитровская линия,2022,4052703,3996259,2363398820
Борисово,Люблинско-Дмитровская линия,2023,4240127,4156947,2581188868
Борисово,Люблинско-Дмитровская линия,2024,2821234,2782654,2664615858
Боровицкая,Серпуховско-Тимирязевская линия,2021,1984186,2087135,1138976342
Боровицкая,Серпуховско-Тимирязевская линия,2022,2207530,2330566,2363398887
Боровицкая,Серпуховско-Тимирязевская линия,2023,2198422,2318853,2581188932
Боровицкая,Серпуховско-Тимирязевская линия,2024,1729209,1822419,2664615907
Боровское шоссе,Солнцевская линия,2021,1779522,1679757,1138976420
Боровское шоссе,Солнцевская линия,2022,1882715,1779480,2363398944
Боровское шоссе,Солнцевская линия,2023,2025625,1926636,2581188987
Боровское шоссе,Солнцевская линия,2024,1393967,1313689,2664615954
Ботанический сад,Калужско-Рижская линия,2021,5267359,6005168,1139049558
Ботанический сад,Калужско-Рижская линия,2022,5677665,6513206,2363398759
Ботанический сад,Калужско-Рижская линия,2023,6574545,7325876,2581188805
Ботанический сад,Калужско-Рижская линия,2024,5674909,6192725,2664615812
Ботанический сад,Московское центральное кольцо,2021,3330747,4050712,1139050935
Ботанический сад,Московское центральное кольцо,2022,3859408,4712416,2363426484
Ботанический сад,Московское центральное кольцо,2023,4245683,5087240,2581190445
Ботанический сад,Московское центральное кольцо,2024,3196047,3835369,2664648741
Братиславская,Люблинско-Дмитровская линия,2021,12234795,12197658,1138976409
Братиславская,Люблинско-Дмитровская линия,2022,12869516,12806678,2363398817
Братиславская,Люблинско-Дмитровская линия,2023,13104135,12991273,2581188866
Братиславская,Люблинско-Дмитровская линия,2024,9593871,9519999,2664615856
Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,2021,17431506,16847683,1138976365
